nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000314	Charles Bronson	1921	2003	actor	tt0054047,tt0057115,tt0071402,tt0064116
nm0000315	Louise Brooks	1906	1985	actress,soundtrack	tt0018737,tt0021273,tt0021917,tt0017382
nm0000316	Mel Brooks	1926	null	actor,writer,soundtrack	tt0071230,tt0082517,tt0094012,tt0395251
nm0000317	Clancy Brown	1959	null	actor,soundtrack,producer	tt0111161,tt1179056,tt0409847,tt0120201
nm0000318	Tim Burton	1958	null	producer,miscellaneous,director	tt0099487,tt1142977,tt0121164,tt0408236
nm0000319	Yancy Butler	1970	null	actress,director,writer	tt1250777,tt1650554,tt0107076,tt0274298
nm0000320	Luis Buñuel	1900	1983	writer,director,actor	tt0068361,tt0061395,tt0056732,tt0075824
nm0000321	Gabriel Byrne	1950	null	actor,producer,writer	tt0100150,tt7784604,tt0114814,tt0146675
nm0000322	Emmanuelle Béart	1963	null	actress,soundtrack	tt0109731,tt0113947,tt0117060,tt0283832
nm0000323	Michael Caine	1933	null	actor,producer,soundtrack	tt0124315,tt0258068,tt0482571,tt0468569
nm0000324	Barbara Carrera	1945	null	actress,soundtrack	tt0084112,tt0086006,tt0076210,tt0085862
nm0000325	David Caruso	1956	null	actor,producer	tt0113451,tt0083944,tt0261983,tt0228750
nm0000326	Kim Cattrall	1956	null	actress,producer,soundtrack	tt1000774,tt0102975,tt1261945,tt0159206
nm0000327	Lacey Chabert	1982	null	actress,soundtrack,producer	tt0454082,tt0377092,tt0120738,tt0277371
nm0000328	Richard Chamberlain	1934	null	actor,soundtrack,producer	tt0072308,tt0085101,tt0073012,tt0076299
nm0000329	Jackie Chan	1954	null	producer,actor,stunts	tt0266915,tt0089374,tt0120812,tt0127357
nm0000330	Stockard Channing	1944	null	actress,soundtrack	tt0198021,tt0108149,tt0120791,tt0077631
nm0000331	Chevy Chase	1943	null	actor,writer,soundtrack	tt0085995,tt0104850,tt0092086,tt0080487
nm0000332	Don Cheadle	1964	null	actor,producer,soundtrack	tt0375679,tt1540133,tt0395169,tt0790770
nm0000333	Cher	1946	null	music_artist,soundtrack,actress	tt0093565,tt0089560,tt1126591,tt0100140
nm0000334	Chow Yun-Fat	1955	null	actor,writer,soundtrack	tt1098327,tt0120008,tt0473444,tt0190332
nm0000335	Glenn Close	1947	null	actress,soundtrack,producer	tt2015381,tt3750872,tt0094947,tt0093010
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0074695,tt0057115,tt0056923,tt0054047
nm0000337	Rachael Leigh Cook	1979	null	actress,producer,writer	tt11100856,tt0160862,tt5659816,tt0331811
nm0000338	Francis Ford Coppola	1939	null	producer,director,writer	tt0068646,tt0071360,tt0071562,tt0078788
nm0000339	Roger Corman	1926	null	producer,director,actor	tt0102926,tt0061189,tt0099612,tt0091419
nm0000340	Cindy Crawford	1966	null	actress,producer,soundtrack	tt0186549,tt0120577,tt0113010,tt1441109
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0108757,tt0070909,tt0107290,tt0117998
nm0000342	James Cromwell	1940	null	actor,producer,soundtrack	tt0117731,tt0120689,tt0119488,tt0144214
nm0000343	David Cronenberg	1943	null	actor,director,writer	tt0115964,tt0094964,tt0091064,tt0120907
nm0000344	Denise Crosby	null	null	actress,producer	tt0098084,tt0104119,tt0097889,tt0120647
nm0000345	Billy Crystal	1948	null	actor,writer,producer	tt0101587,tt0113097,tt0122933,tt0098635
nm0000346	Macaulay Culkin	1980	null	actor,producer,director	tt0102492,tt0099785,tt0107034,tt0104431
nm0000347	Tim Curry	1946	null	actor,soundtrack,producer	tt0112715,tt0108333,tt0073629,tt0088930
nm0000348	Tony Curtis	1925	2010	actor,producer,soundtrack	tt0066701,tt0054331,tt0053291,tt0051036
nm0000349	Joan Cusack	1962	null	actress,soundtrack,writer	tt0096463,tt0119360,tt1659337,tt0119229
nm0000350	Beverly D'Angelo	1951	null	actress,soundtrack,producer	tt0097958,tt0120586,tt0120434,tt0085995
nm0000351	Donna D'Errico	1968	null	actress,director,producer	tt12861508,tt7235466,tt4459134,tt4270458
nm0000352	Vincent D'Onofrio	1959	null	actor,producer,soundtrack	tt0093058,tt0209958,tt0119654,tt0369610
nm0000353	Willem Dafoe	1955	null	actor,soundtrack,producer	tt7984734,tt5649144,tt6938828,tt0145487
nm0000354	Matt Damon	1970	null	producer,actor,soundtrack	tt3659388,tt0134119,tt0119217,tt0407887
nm0000355	Anthony Daniels	1946	null	actor,producer,soundtrack	tt2527336,tt0076759,tt0080684,tt2488496
nm0000356	Sybil Danning	null	null	actress,producer,writer	tt0373883,tt0085318,tt0080421,tt0085672
nm0000357	Lolita Davidovich	1961	null	actress	tt0329717,tt0092513,tt0110146,tt0096943
nm0000358	Daniel Day-Lewis	1957	null	actor,music_department,soundtrack	tt0104691,tt0217505,tt0443272,tt0469494
nm0000359	Olivier De Funès	1949	null	actor,writer,soundtrack	tt0065848,tt0250077,tt0064425,tt1220911
nm0000360	Rebecca De Mornay	1959	null	actress,soundtrack,producer	tt0086200,tt0089941,tt0104389,tt0396269
nm0000361	Brian De Palma	1940	null	director,writer,producer	tt0094226,tt0086984,tt0080661,tt0071994
nm0000362	Danny DeVito	1944	null	actor,producer,director	tt0103776,tt0098621,tt0117008,tt0094142
nm0000363	Loren Dean	1969	null	actor,soundtrack	tt0186566,tt0098258,tt0112384,tt0120660
nm0000364	Sandra Dee	1942	2005	actress,soundtrack	tt0052847,tt0052918,tt0054759,tt0056093
nm0000365	Julie Delpy	1969	null	actress,writer,director	tt0841044,tt0381681,tt0111507,tt0112471
nm0000366	Catherine Deneuve	1943	null	actress,soundtrack,producer	tt0059646,tt0061395,tt0168629,tt0283832
nm0000367	Gérard Depardieu	1948	null	actor,producer,soundtrack	tt0103594,tt0120744,tt0099699,tt0099334
nm0000368	Laura Dern	1967	null	actress,producer,writer	tt7653254,tt0090756,tt0107290,tt2305051
nm0000369	Matt Dillon	1964	null	actor,director,writer	tt0097240,tt4003440,tt0375679,tt0129387
nm0000370	Walt Disney	1901	1966	producer,actor,director	tt0029583,tt0034492,tt0048280,tt0058331
nm0000371	Ami Dolenz	1969	null	actress,producer,miscellaneous	tt0107949,tt0086765,tt0110913,tt0092718
nm0000372	Amanda Donohoe	1962	null	actress,producer	tt0090466,tt0119528,tt0095488,tt0110428
nm0000373	Michael Dorn	1952	null	actor,director,soundtrack	tt0111280,tt0102975,tt0117731,tt0120844
nm0000374	Brad Dourif	1950	null	actor	tt0167261,tt0095647,tt0073486,tt0099528
nm0000375	Robert Downey Jr.	1965	null	actor,producer,soundtrack	tt4154796,tt0371746,tt1300854,tt0988045
nm0000376	Fran Drescher	1957	null	writer,actress,producer	tt0106080,tt0837562,tt0098546,tt0118691
nm0000377	Richard Dreyfuss	1947	null	actor,producer,soundtrack	tt0069704,tt0073195,tt0076095,tt0075860
nm0000378	Minnie Driver	1970	null	actress,soundtrack,producer	tt0496343,tt5592146,tt0119217,tt0112679
